Date;Well1
2006-05-15;-8.97958333333333
2006-05-16;-8.99375
2006-05-17;-9.01208333333333
2006-05-18;-9.02291666666667
2006-05-19;-9.03875
2006-05-20;-9.0525
2006-05-21;-9.06166666666667
2006-05-22;-9.07
2006-05-23;-9.07708333333333
2006-05-24;-9.08166666666667
2006-05-25;-9.09
2006-05-26;-9.09666666666667
2006-05-27;-9.10166666666667
2006-05-28;-9.11
2006-05-29;-9.11541666666667
2006-05-30;-9.12
2006-05-31;-9.1275
2006-06-01;-9.13333333333333
2006-06-02;-9.12666666666667
2006-06-03;-9.105
2006-06-04;-9.09416666666667
2006-06-05;-9.08458333333333
2006-06-06;-9.075
2006-06-07;-9.06416666666667
2006-06-08;-9.05083333333333
2006-06-09;-9.04083333333333
2006-06-10;-9.04
2006-06-11;-9.04
2006-06-12;-9.04
2006-06-13;-9.04166666666667
2006-06-14;-9.05
2006-06-15;-9.05875
2006-06-16;-9.06333333333333
2006-06-17;-9.07291666666667
2006-06-18;-9.08166666666667
2006-06-19;-9.09083333333333
2006-06-20;-9.1
2006-06-21;-9.10666666666667
2006-06-22;-9.11291666666667
2006-06-23;-9.12791666666667
2006-06-24;-9.14208333333333
2006-06-25;-9.1525
2006-06-26;-9.16625
2006-06-27;-9.17708333333333
2006-06-28;-9.18583333333333
2006-06-29;-9.18833333333333
2006-06-30;-8.58333333333333
2006-07-01;-7.80208333333333
2006-07-02;-7.39333333333333
2006-07-03;-6.76875
2006-07-04;-6.05583333333333
2006-07-05;-5.31625
2006-07-06;-4.76416666666667
2006-07-07;-4.42958333333333
2006-07-08;-4.21375
2006-07-09;-4.10333333333333
2006-07-10;-4.0325
2006-07-11;-3.99
2006-07-12;-3.96875
2006-07-13;-3.9625
2006-07-14;-3.97125
2006-07-15;-3.98875
2006-07-16;-3.97833333333333
2006-07-17;-3.96833333333333
2006-07-18;-3.7225
2006-07-19;-3.48625
2006-07-20;-3.28458333333333
2006-07-21;-3.02291666666667
2006-07-22;-2.92166666666667
2006-07-23;-2.87041666666667
2006-07-24;-2.85416666666667
2006-07-25;-2.86625
2006-07-26;-2.88625
2006-07-27;-2.91333333333333
2006-07-28;-2.94333333333333
2006-07-29;-2.99208333333333
2006-07-30;-3.04083333333333
2006-07-31;-3.07666666666667
2006-08-01;-3.1075
2006-08-02;-3.14875
2006-08-03;-3.18125
2006-08-04;-3.22791666666667
2006-08-05;-3.27708333333333
2006-08-06;-3.32583333333333
2006-08-07;-3.36875
2006-08-08;-3.4225
2006-08-09;-3.45666666666667
2006-08-10;-3.47666666666667
2006-08-11;-3.49791666666667
2006-08-12;-3.49791666666667
2006-08-13;-3.49791666666667
2006-08-14;-2.96583333333333
2006-08-15;-2.60708333333333
2006-08-16;-2.39875
2006-08-17;-2.3025
2006-08-18;-2.28458333333333
2006-08-19;-2.28708333333333
2006-08-20;-2.3
2006-08-21;-2.32083333333333
2006-08-22;-2.35958333333333
2006-08-23;-2.4125
2006-08-24;-2.46541666666667
2006-08-25;-2.94052631578947
2006-08-26;-3.3375
2006-08-27;-3.33833333333333
2006-08-28;-3.3825
2006-08-29;-3.43541666666667
2006-08-30;-3.48458333333333
2006-08-31;-3.54375
2006-09-01;-3.62333333333333
2006-09-02;-3.69666666666667
2006-09-03;-3.67478260869565
2006-09-04;-3.49869565217391
2006-09-05;-3.381875
2006-09-06;-3.37458333333333
2006-09-07;-2.9425
2006-09-08;-2.77791666666667
2006-09-09;-2.69791666666667
2006-09-10;-2.53416666666667
2006-09-11;-2.506
2006-09-12;NaN
2006-09-13;NaN
2006-09-14;NaN
2006-09-15;-3.083
2006-09-16;-3.01458333333333
2006-09-17;-2.99541666666667
2006-09-18;-3.00708333333333
2006-09-19;-3.04875
2006-09-20;-3.10416666666667
2006-09-21;-3.15958333333333
2006-09-22;-3.20958333333333
2006-09-23;-3.27291666666667
2006-09-24;-3.335
2006-09-25;-3.3925
2006-09-26;-3.43791666666667
2006-09-27;-3.49458333333333
2006-09-28;-3.53833333333333
2006-09-29;-3.595
2006-09-30;-3.65708333333333
2006-10-01;-3.71083333333333
2006-10-02;-3.7625
2006-10-03;-3.8275
2006-10-04;-3.88583333333333
2006-10-05;-3.94666666666667
2006-10-06;-4.01083333333333
2006-10-07;-4.06958333333333
2006-10-08;-4.13166666666667
2006-10-09;-4.18708333333333
2006-10-10;-4.24583333333333
2006-10-11;-4.29791666666667
2006-10-12;-4.3775
2006-10-13;-4.4825
2006-10-14;-4.58541666666667
2006-10-15;-4.68916666666667
2006-10-16;-4.78416666666667
2006-10-17;-4.88
2006-10-18;-4.89
2006-10-19;-3.8425
2006-10-20;-3.42458333333333
2006-10-21;-3.32565217391304
2006-10-22;-3.33708333333333
2006-10-23;-3.37666666666667
2006-10-24;-3.42875
2006-10-25;-3.48458333333333
2006-10-26;-3.5425
2006-10-27;-3.59541666666667
2006-10-28;-3.63833333333333
2006-10-29;-3.2195652173913
2006-10-30;-2.92833333333333
2006-10-31;-2.55375
2006-11-01;-2.37041666666667
2006-11-02;-2.22666666666667
2006-11-03;-2.22791666666667
2006-11-04;-2.25375
2006-11-05;-2.21291666666667
2006-11-06;-2.07541666666667
2006-11-07;-2.11208333333333
2006-11-08;-2.1425
2006-11-09;-2.18083333333333
2006-11-10;-2.22291666666667
2006-11-11;-2.26625
2006-11-12;-2.31875
2006-11-13;-2.38041666666667
2006-11-14;-2.44416666666667
2006-11-15;-2.51333333333333
2006-11-16;-2.57333333333333
2006-11-17;-2.63875
2006-11-18;-2.69375
2006-11-19;-2.74875
2006-11-20;-2.81833333333333
2006-11-21;-2.88208333333333
2006-11-22;-2.9275
2006-11-23;-2.91375
2006-11-24;-2.95083333333333
2006-11-25;-3.02041666666667
2006-11-26;-3.07958333333333
2006-11-27;-3.13291666666667
2006-11-28;-3.19458333333333
2006-11-29;-3.26375
2006-11-30;-3.32708333333333
2006-12-01;-3.39458333333333
2006-12-02;-3.46083333333333
2006-12-03;-3.53
2006-12-04;-3.59875
2006-12-05;-3.66791666666667
2006-12-06;-3.72416666666667
2006-12-07;-3.78958333333333
2006-12-08;-3.86375
2006-12-09;-3.93375
2006-12-10;-4.00541666666667
2006-12-11;-4.08041666666667
2006-12-12;-4.17625
2006-12-13;-4.2875
2006-12-14;-4.40083333333333
2006-12-15;-4.53166666666667
2006-12-16;-4.65583333333333
2006-12-17;-4.77833333333333
2006-12-18;-4.88541666666667
2006-12-19;-5.00708333333333
2006-12-20;-5.12666666666667
2006-12-21;-5.24583333333333
2006-12-22;-5.3775
2006-12-23;-5.52666666666667
2006-12-24;-5.655
2006-12-25;-5.77666666666667
2006-12-26;-5.88833333333333
2006-12-27;-5.99375
2006-12-28;-6.10375
2006-12-29;-6.21416666666667
2006-12-30;-6.31166666666667
2006-12-31;-6.40375
2007-01-01;-6.49708333333333
