Date;P1;P3;P5;P6;P7;P9;P10;P12;P13
2003-12-30;-12.004166666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2003-12-31;-12.019166666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-01;-12.035833333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-02;-12.054583333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-03;-12.067916666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-04;-12.077916666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-05;-12.089583333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-06;-12.10125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-07;-12.11125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-08;-12.124583333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-09;-12.135;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-10;-12.146666666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-11;-12.155833333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-12;-12.16375;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-13;-12.17625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-14;-12.187916666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-15;-12.200416666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-16;-12.211666666666668;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-17;-12.220833333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-18;-12.231250000000001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-19;-12.27375;-27.89;NaN;-38.21;NaN;NaN;NaN;NaN;NaN
2004-01-20;-12.33;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-21;-12.3375;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-22;-12.34625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-23;-12.355416666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-24;-12.364166666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-25;-12.372083333333332;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-26;-12.38;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-27;-12.385416666666668;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-28;-12.39375;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-29;-12.401666666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-30;-12.410416666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-01-31;-12.422083333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-01;-12.4325;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-02;-12.440416666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-03;-12.44625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-04;-12.445833333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-05;-12.460416666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-06;-12.46625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-07;-12.4725;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-08;-12.475833333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-09;-12.480416666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-10;-12.49;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-11;-12.491666666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-12;-12.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-13;-12.503333333333334;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-14;-12.510416666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-15;-12.515416666666667;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-16;-12.52625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-17;-12.532083333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-18;-12.536666666666665;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-19;-12.542608695652174;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-02-20;NaN;-28.15;NaN;-38.18;NaN;NaN;NaN;NaN;NaN
2004-03-24;-12.86;-28.32;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-03-25;-12.864166666666666;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-03-26;-12.87;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
2004-03-27;-12.875833333333333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
